cotacaoVenda;dataHoraCotacao
2,1342;2007-01-02 17:38:00.0
2,1372;2007-01-03 17:43:00.0
2,1429;2007-01-04 17:44:00.0
2,1474;2007-01-05 17:39:00.0
2,1505;2007-01-08 17:34:00.0
2,1506;2007-01-09 17:36:00.0
2,1556;2007-01-10 17:36:00.0
2,1465;2007-01-11 17:32:00.0
2,1421;2007-01-12 17:33:00.0
2,1407;2007-01-15 17:40:00.0
2,1444;2007-01-16 17:44:00.0
2,135;2007-01-17 17:40:00.0
2,1329;2007-01-18 17:37:00.0
2,1307;2007-01-19 17:36:00.0
2,1327;2007-01-22 17:37:00.0
2,1368;2007-01-23 17:36:00.0
2,1286;2007-01-24 17:36:00.0
2,1281;2007-01-25 17:34:00.0
2,136;2007-01-26 17:35:00.0
2,136;2007-01-29 17:35:00.0
2,1329;2007-01-30 17:48:00.0
2,1247;2007-01-31 17:39:00.0
2,1093;2007-02-01 17:47:00.0
2,982;2007-02-02 17:35:00.0
2,964;2007-02-05 17:39:00.0
2,833;2007-02-06 17:40:00.0
2,852;2007-02-07 17:36:00.0
2,951;2007-02-08 17:48:00.0
2,1033;2007-02-09 17:40:00.0
2,114;2007-02-12 17:53:00.0
2,1088;2007-02-13 17:43:00.0
2,1;2007-02-14 17:45:00.0
2,896;2007-02-15 17:35:00.0
2,913;2007-02-16 17:34:00.0
2,802;2007-02-21 17:35:00.0
2,766;2007-02-22 17:36:00.0
2,868;2007-02-23 17:38:00.0
2,863;2007-02-26 17:35:00.0
2,1099;2007-02-27 17:43:00.0
2,1182;2007-02-28 17:33:00.0
2,126;2007-03-01 17:35:00.0
2,1274;2007-03-02 17:34:00.0
2,1388;2007-03-05 17:35:00.0
2,1209;2007-03-06 17:32:00.0
2,1121;2007-03-07 17:33:00.0
2,1054;2007-03-08 17:42:00.0
2,983;2007-03-09 17:41:00.0
2,902;2007-03-12 17:33:00.0
2,962;2007-03-13 17:38:00.0
2,1044;2007-03-14 17:36:00.0
2,909;2007-03-15 17:37:00.0
2,915;2007-03-16 17:39:00.0
2,792;2007-03-19 17:33:00.0
2,763;2007-03-20 17:38:00.0
2,676;2007-03-21 17:33:00.0
2,602;2007-03-22 17:35:00.0
2,652;2007-03-23 17:38:00.0
2,601;2007-03-26 17:34:00.0
2,637;2007-03-27 17:43:00.0
