;País;anomes;countOfExport;sumOfExport;timestamp;cotacaoVenda;Continente;ticket_medio;percent
1679;Nova Zelândia;2021;657.0;10477.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;15.946727549467276;0.10634501216821614
1636;Emirados Arabes Unidos;2021;810.0;10522.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;12.990123456790123;0.10680177703865326
1685;Portugal;2021;6358.0;42633.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;6.705410506448569;0.4327390382521294
1687;Reino Unido;2021;25316.0;122394.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;4.834650023700426;1.2423395456062467
1669;Malta;2021;3441.0;15454.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;4.491136297587911;0.15686320683856184
1622;China;2021;61884.0;264116.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;4.267920625686769;2.6808646782304644
1642;Filipinas;2021;2784.0;10368.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;3.7241379310344827;0.1052386261487129
1644;França;2021;7052.0;23742.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;3.3667044809982984;0.24098914564262552
1693;Singapura;2021;4504.0;14346.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;3.185168738898757;0.14561664069535446
1655;Hong Kong;2021;12507.0;39390.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;3.1494363156632286;0.3998215165892941
1666;Libéria;2021;7554.0;23060.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;3.0526873179772305;0.2340666202728896
1670;Marshall, Ilhas;2021;8644.0;22561.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;2.610018509949098;0.22900160537626466
1663;Japão;2021;39491.0;90275.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;2.285963890506698;0.9163210817491375
1692;Serra Leoa;2021;6525.0;12955.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;1.9854406130268198;0.13149753103362033
1640;Estados Unidos;2021;111085.0;203554.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;1.8324166179052077;2.0661403652657317
1632;Curaçao;2021;32263.0;58993.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;1.8285032390044322;0.5987984444821586
1625;Colômbia;2021;12160.0;21867.0;2021-12-31 10:04:20.895;5.5805;América do Sul;1.7982730263157896;0.22195727604107882
1683;Peru;2021;9720.0;17107.0;2021-12-31 10:04:20.895;5.5805;América do Sul;1.7599794238683129;0.17364170307928545
1689;Rússia;2021;181931.0;312926.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;1.7200257240382342;3.176302307697929
1648;Guatemala;2021;17347.0;29100.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;1.6775234910935608;0.2953746162160055
1676;Nigéria;2021;68247.0;113172.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;1.6582706932172844;1.1487331981579993
1678;Nova Caledônia;2021;7227.0;11924.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;1.6499238964992389;0.12103254033538316
1681;Panamá;2021;29520.0;48444.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;1.6410569105691057;0.491722608521243
1645;Gana;2021;12578.0;19196.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;1.5261567816823025;0.19484574339802208
1707;Venezuela;2021;26415.0;35944.0;2021-12-31 10:04:20.895;5.5805;América do Sul;1.3607420026500094;0.3648434778442647
1653;Haiti;2021;670379.0;831181.0;2021-12-31 10:04:20.895;5.5805;Exceto América do Sul;1.2398672989458202;8.436761817217722
1682;Paraguai;2021;6522527.0;7192362.0;2021-12-31 10:04:20.895;5.5805;América do Sul;1.1026956270169521;73.00485104593065
1705;Uruguai;2021;136774.0;149842.0;2021-12-31 10:04:20.895;5.5805;América do Sul;1.095544474827087;1.5209458159119829
