index,country,anomes,y,ds
1689,Rússia,2021,312926.0,2021-01-01
93,Rússia,2007,173160.0,2007-01-01
891,Rússia,2014,61440.0,2014-01-01
1005,Rússia,2015,18240.0,2015-01-01
1575,Rússia,2020,8550.0,2020-01-01
884,Paraguai,2014,908028.0,2014-01-01
86,Paraguai,2007,801519.0,2007-01-01
998,Paraguai,2015,741370.0,2015-01-01
770,Paraguai,2013,680828.0,2013-01-01
428,Paraguai,2010,449197.0,2010-01-01
656,Paraguai,2012,428279.0,2012-01-01
314,Paraguai,2009,392087.0,2009-01-01
542,Paraguai,2011,276281.0,2011-01-01
499,Espanha,2011,24618.0,2011-01-01
1297,Espanha,2018,22631.0,2018-01-01
157,Espanha,2008,6834.0,2008-01-01
271,Espanha,2009,4050.0,2009-01-01
1411,Espanha,2019,1353.0,2019-01-01
1525,Espanha,2020,126.0,2020-01-01
500,Estados Unidos,2011,1030254.0,2011-01-01
44,Estados Unidos,2007,810038.0,2007-01-01
158,Estados Unidos,2008,804607.0,2008-01-01
728,Estados Unidos,2013,786556.0,2013-01-01
1070,Estados Unidos,2016,687411.0,2016-01-01
272,Estados Unidos,2009,660066.0,2009-01-01
1412,Estados Unidos,2019,616274.0,2019-01-01
1526,Estados Unidos,2020,610793.0,2020-01-01
956,Estados Unidos,2015,524109.0,2015-01-01
1298,Estados Unidos,2018,512519.0,2018-01-01
842,Estados Unidos,2014,494216.0,2014-01-01
386,Estados Unidos,2010,478630.0,2010-01-01
614,Estados Unidos,2012,303986.0,2012-01-01
1640,Estados Unidos,2021,203554.0,2021-01-01
1117,Reino Unido,2016,536681.0,2016-01-01
661,Reino Unido,2012,334856.0,2012-01-01
1003,Reino Unido,2015,308407.0,2015-01-01
775,Reino Unido,2013,305005.0,2013-01-01
1345,Reino Unido,2018,296827.0,2018-01-01
433,Reino Unido,2010,295690.0,2010-01-01
547,Reino Unido,2011,285642.0,2011-01-01
1231,Reino Unido,2017,242883.0,2017-01-01
1459,Reino Unido,2019,164592.0,2019-01-01
205,Reino Unido,2008,155076.0,2008-01-01
91,Reino Unido,2007,144244.0,2007-01-01
1687,Reino Unido,2021,122394.0,2021-01-01
1573,Reino Unido,2020,82722.0,2020-01-01
319,Reino Unido,2009,68788.0,2009-01-01
1653,Haiti,2021,831181.0,2021-01-01
1539,Haiti,2020,471152.0,2020-01-01
1311,Haiti,2018,144425.0,2018-01-01
1425,Haiti,2019,129803.0,2019-01-01
285,Haiti,2009,5863.0,2009-01-01
399,Haiti,2010,3750.0,2010-01-01
171,Haiti,2008,20.0,2008-01-01
198,Países Baixos,2008,783635.0,2008-01-01
882,Países Baixos,2014,773767.0,2014-01-01
654,Países Baixos,2012,539641.0,2012-01-01
540,Países Baixos,2011,395356.0,2011-01-01
84,Países Baixos,2007,364751.0,2007-01-01
426,Países Baixos,2010,302182.0,2010-01-01
768,Países Baixos,2013,255690.0,2013-01-01
1110,Países Baixos,2016,190203.0,2016-01-01
996,Países Baixos,2015,186464.0,2015-01-01
1452,Países Baixos,2019,148031.0,2019-01-01
312,Países Baixos,2009,136991.0,2009-01-01
1338,Países Baixos,2018,32395.0,2018-01-01
1680,Países Baixos,2021,8484.0,2021-01-01
1566,Países Baixos,2020,1532.0,2020-01-01
800,"Alemanha, República Democrática",2014,761653.0,2014-01-01
116,"Alemanha, República Democrática",2008,429970.0,2008-01-01
230,"Alemanha, República Democrática",2009,393482.0,2009-01-01
686,"Alemanha, República Democrática",2013,265978.0,2013-01-01
2,"Alemanha, República Democrática",2007,238052.0,2007-01-01
458,"Alemanha, República Democrática",2011,144150.0,2011-01-01
344,"Alemanha, República Democrática",2010,138666.0,2010-01-01
1142,"Alemanha, República Democrática",2017,87702.0,2017-01-01
1028,"Alemanha, República Democrática",2016,68109.0,2016-01-01
572,"Alemanha, República Democrática",2012,56342.0,2012-01-01
1256,"Alemanha, República Democrática",2018,45382.0,2018-01-01
914,"Alemanha, República Democrática",2015,44780.0,2015-01-01
1484,"Alemanha, República Democrática",2020,32605.0,2020-01-01
1370,"Alemanha, República Democrática",2019,25467.0,2019-01-01
1598,"Alemanha, República Democrática",2021,6741.0,2021-01-01
596,China,2012,642177.0,2012-01-01
1052,China,2016,499622.0,2016-01-01
254,China,2009,482400.0,2009-01-01
824,China,2014,455340.0,2014-01-01
1394,China,2019,376828.0,2019-01-01
1508,China,2020,363000.0,2020-01-01
482,China,2011,334867.0,2011-01-01
710,China,2013,279956.0,2013-01-01
1166,China,2017,266086.0,2017-01-01
1622,China,2021,264116.0,2021-01-01
938,China,2015,222866.0,2015-01-01
1280,China,2018,126336.0,2018-01-01
26,China,2007,30390.0,2007-01-01
140,China,2008,25926.0,2008-01-01
368,China,2010,2358.0,2010-01-01
751,Japão,2013,429088.0,2013-01-01
865,Japão,2014,401774.0,2014-01-01
67,Japão,2007,316867.0,2007-01-01
295,Japão,2009,283436.0,2009-01-01
181,Japão,2008,178333.0,2008-01-01
523,Japão,2011,144662.0,2011-01-01
637,Japão,2012,116961.0,2012-01-01
1321,Japão,2018,112342.0,2018-01-01
1435,Japão,2019,99642.0,2019-01-01
1207,Japão,2017,92886.0,2017-01-01
1549,Japão,2020,92674.0,2020-01-01
1093,Japão,2016,90954.0,2016-01-01
1663,Japão,2021,90275.0,2021-01-01
979,Japão,2015,87853.0,2015-01-01
409,Japão,2010,74628.0,2010-01-01
