País,Origem,Volume KG,Valor (US$)
Afeganistão,Brasil,11.0,46.00
África do Sul,Brasil,30.0,116.00
"Alemanha, República Democrática",Brasil,1020933.0,"2,739,079.00"
Angola,Brasil,190731.0,"621,181.00"
Anguilla,Brasil,0.0,0.00
Antígua e Barbuda,Brasil,1685.0,"5,872.00"
Antilhas Holandesas,Brasil,114027.0,"160,864.00"
Argentina,Brasil,50532.0,"218,452.00"
Aruba,Brasil,1350.0,"2,435.00"
Austrália,Brasil,273290.0,"457,230.00"
Áustria,Brasil,675.0,"5,220.00"
Bahamas,Brasil,12886.0,"70,829.00"
Bangladesh,Brasil,5.0,49.00
Barbados,Brasil,395.0,"1,407.00"
Barein,Brasil,792.0,"3,066.00"
Bélgica,Brasil,402916.0,"1,392,832.00"
Belice,Brasil,9.0,29.00
Benin,Brasil,15399.0,"37,765.00"
Bolívia,Brasil,176876.0,"244,657.00"
Bósnia-Herzegovina,Brasil,45.0,52.00
Bulgária,Brasil,117.0,"1,579.00"
Cabo Verde,Brasil,12625.0,"50,363.00"
Camarões,Brasil,1749.0,"7,654.00"
Canadá,Brasil,198480.0,"1,110,471.00"
Catar,Brasil,13339.0,"81,608.00"
"Cayman, Ilhas",Brasil,265.0,"1,004.00"
Chile,Brasil,82041.0,"129,939.00"
China,Brasil,2411701.0,"4,372,268.00"
Chipre,Brasil,5284.0,"13,638.00"
Cingapura,Brasil,34837.0,"108,474.00"
Colômbia,Brasil,35669.0,"73,949.00"
Comores,Brasil,9.0,25.00
Congo,Brasil,360.0,570.00
"Coreia, Republica Sul",Brasil,4900.0,"19,872.00"
Costa do Marfim,Brasil,0.0,0.00
Costa Rica,Brasil,55.0,200.00
Croácia,Brasil,21.0,123.00
Cuba,Brasil,273697.0,"309,724.00"
Curaçao,Brasil,150446.0,"253,733.00"
Dinamarca,Brasil,81582.0,"386,745.00"
Dominica,Brasil,460.0,634.00
El Salvador,Brasil,55.0,100.00
Emirados Arabes Unidos,Brasil,12531.0,"59,378.00"
Equador,Brasil,6482.0,"7,412.00"
"Eslovaca, Republica",Brasil,585.0,"16,063.00"
Espanha,Brasil,1993000.0,"3,808,552.00"
Estados Unidos,Brasil,3822251.0,"10,046,712.00"
Estônia,Brasil,107768.0,"144,886.00"
Filipinas,Brasil,13847.0,"30,607.00"
Finlândia,Brasil,86763.0,"537,432.00"
França,Brasil,318208.0,"706,582.00"
Gana,Brasil,66229.0,"90,377.00"
Gibraltar,Brasil,792.0,"2,953.00"
Grécia,Brasil,8560.0,"23,830.00"
Guatemala,Brasil,18964.0,"37,839.00"
Guiana,Brasil,4569.0,"14,067.00"
Guiana Francesa,Brasil,90.0,32.00
Guine Bissau,Brasil,48.0,90.00
Guine Equatorial,Brasil,20684.0,"81,903.00"
Haiti,Brasil,1238100.0,"1,586,194.00"
Honduras,Brasil,176.0,610.00
Hong Kong,Brasil,139761.0,"415,676.00"
Hungria,Brasil,627.0,"4,686.00"
Ilha de Man,Brasil,136.0,741.00
Ilhas Virgens,Brasil,0.0,0.00
India,Brasil,71.0,369.00
Indonésia,Brasil,5.0,6.00
Irã,Brasil,137.0,322.00
Iraque,Brasil,0.0,0.00
Irlanda,Brasil,16970.0,"104,717.00"
Itália,Brasil,31677.0,"155,007.00"
Jamaica,Brasil,0.0,0.00
Japão,Brasil,1502311.0,"2,612,375.00"
Jordânia,Brasil,12.0,52.00
Letônia,Brasil,387.0,"3,723.00"
Líbano,Brasil,0.0,0.00
Libéria,Brasil,17808.0,"63,852.00"
Luxemburgo,Brasil,67290.0,"371,165.00"
Malásia,Brasil,63.0,143.00
Malta,Brasil,11095.0,"35,162.00"
"Marshall, Ilhas",Brasil,23113.0,"60,422.00"
Mauritânia,Brasil,9.0,85.00
México,Brasil,8773.0,"59,229.00"
Montenegro,Brasil,32.0,131.00
Namibia,Brasil,340.0,722.00
Nicaragua,Brasil,24.0,24.00
Nigéria,Brasil,129407.0,"208,177.00"
Noruega,Brasil,41688.0,"232,180.00"
Nova Caledônia,Brasil,7227.0,"11,924.00"
Nova Zelândia,Brasil,13967.0,"75,053.00"
Países Baixos,Brasil,1410166.0,"4,119,122.00"
Panamá,Brasil,51476.0,"114,154.00"
Paraguai,Brasil,25423559.0,"32,364,257.00"
Peru,Brasil,24668.0,"53,789.00"
Polônia,Brasil,154475.0,"611,080.00"
Porto Rico,Brasil,0.0,0.00
Portugal,Brasil,526742.0,"739,088.00"
Quênia,Brasil,17471.0,"45,547.00"
Reino Unido,Brasil,1305329.0,"4,717,554.00"
República Dominicana,Brasil,601.0,"2,438.00"
Rússia,Brasil,39230153.0,"25,559,026.00"
São Tomé e Príncipe,Brasil,2184.0,"2,357.00"
São Vicente e Granadinas,Brasil,8.0,48.00
Senegal,Brasil,0.0,0.00
Serra Leoa,Brasil,15783.0,"26,722.00"
Singapura,Brasil,4504.0,"14,346.00"
Suazilândia,Brasil,10.0,24.00
Suécia,Brasil,99449.0,"350,827.00"
Suíça,Brasil,177400.0,"956,117.00"
Suriname,Brasil,28576.0,"47,633.00"
Tailândia,Brasil,2843.0,"7,179.00"
Taiwan (FORMOSA),Brasil,82458.0,"287,987.00"
Tanzânia,Brasil,0.0,0.00
"Tcheca, República",Brasil,150527.0,"536,018.00"
Togo,Brasil,7061.0,"9,823.00"
Trinidade Tobago,Brasil,891.0,"4,320.00"
Tunísia,Brasil,0.0,0.00
Turquia,Brasil,818.0,"1,237.00"
Tuvalu,Brasil,2.0,4.00
Uruguai,Brasil,155478.0,"222,511.00"
Vanuatu,Brasil,18.0,31.00
Venezuela,Brasil,52995.0,"83,847.00"
Vietnã,Brasil,9669.0,"12,736.00"
total,Brasil,84238170.0,"105,385,138.00"
