País,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total
Afeganistão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0
África do Sul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,21.0,0.0,116.0
"Alemanha, República Democrática",238052.0,429970.0,393482.0,138666.0,144150.0,56342.0,265978.0,761653.0,44780.0,68109.0,87702.0,45382.0,25467.0,32605.0,6741.0,2739079.0
Angola,49753.0,71083.0,84235.0,189891.0,69001.0,8861.0,9300.0,23124.0,17089.0,35390.0,61680.0,709.0,1065.0,0.0,0.0,621181.0
Antígua e Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,1549.0,1864.0,2268.0,5872.0
Antilhas Holandesas,17949.0,22908.0,10651.0,12808.0,10188.0,14081.0,19565.0,7169.0,10545.0,26450.0,8550.0,0.0,0.0,0.0,0.0,160864.0
Argentina,0.0,0.0,4523.0,0.0,55460.0,0.0,0.0,95130.0,0.0,0.0,0.0,59150.0,0.0,4176.0,13.0,218452.0
Aruba,0.0,0.0,0.0,0.0,1680.0,0.0,0.0,755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2435.0
Austrália,281.0,99280.0,9195.0,17960.0,40704.0,56045.0,101715.0,43709.0,48011.0,13799.0,7500.0,6902.0,4682.0,3413.0,4034.0,457230.0
Áustria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5220.0,0.0,0.0,0.0,0.0,0.0,5220.0
Bahamas,0.0,0.0,0.0,12759.0,28810.0,12087.0,5145.0,0.0,0.0,0.0,0.0,634.0,3124.0,3703.0,4567.0,70829.0
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,20.0,49.0
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,169.0,844.0,1407.0
Barein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2144.0,28.0,894.0,3066.0
Bélgica,3751.0,12969.0,58764.0,185411.0,62339.0,90718.0,95893.0,704093.0,26399.0,46534.0,16405.0,52799.0,12548.0,20460.0,3749.0,1392832.0
Belice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,29.0
Benin,0.0,17423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20333.0,0.0,0.0,9.0,0.0,0.0,37765.0
Bolívia,3550.0,3990.0,20729.0,282.0,20215.0,16804.0,25998.0,18303.0,12990.0,16902.0,23085.0,57424.0,0.0,16025.0,8360.0,244657.0
Bósnia-Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,52.0
Bulgária,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1579.0,0.0,0.0,0.0,0.0,1579.0
Cabo Verde,0.0,0.0,0.0,49366.0,825.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,124.0,50363.0
Camarões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7476.0,0.0,0.0,178.0,0.0,7654.0
Canadá,18838.0,80476.0,73445.0,0.0,128076.0,146035.0,174643.0,226875.0,118394.0,71096.0,30658.0,20414.0,6933.0,8431.0,6157.0,1110471.0
Catar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81606.0,0.0,0.0,0.0,2.0,81608.0
"Cayman, Ilhas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,106.0,339.0,356.0,1004.0
Chile,67353.0,0.0,4297.0,0.0,0.0,15438.0,0.0,0.0,0.0,0.0,0.0,42832.0,0.0,13.0,6.0,129939.0
China,30390.0,25926.0,482400.0,2358.0,334867.0,642177.0,279956.0,455340.0,222866.0,499622.0,266086.0,126336.0,376828.0,363000.0,264116.0,4372268.0
Chipre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,1843.0,6785.0,4530.0,13638.0
Cingapura,17864.0,4699.0,6110.0,5504.0,3317.0,5310.0,5779.0,3887.0,2774.0,13199.0,0.0,11616.0,19099.0,9316.0,0.0,108474.0
Colômbia,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,26273.0,1999.0,23780.0,21867.0,73949.0
Comores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0
Congo,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0
"Coreia, Republica Sul",4650.0,14366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,109.0,194.0,433.0,100.0,19872.0
