anomes,Continente,ticket_medio
2007,América do Sul,1.1214525535017543
2007,Dolar,1.7713
2007,Exceto América do Sul,2.4422161064531385
2008,América do Sul,1.178069698390879
2008,Dolar,2.337
2008,Exceto América do Sul,3.95395547135728
2009,América do Sul,6.136120657631005
2009,Dolar,1.7412
2009,Exceto América do Sul,2.574864024652144
2010,América do Sul,2.6615567978762398
2010,Dolar,1.6662
2010,Exceto América do Sul,4.604896834043523
2011,América do Sul,2.142239950921438
2011,Dolar,1.8758
2011,Exceto América do Sul,4.773391284607981
2012,América do Sul,2.8431866034478834
2012,Dolar,2.435
2012,Exceto América do Sul,6.5316594384343665
2013,América do Sul,3.107357797988558
2013,Dolar,2.3426
2013,Exceto América do Sul,5.200157994813014
2014,América do Sul,4.8690433945853115
2014,Dolar,2.6562
2014,Exceto América do Sul,4.950418878751776
2015,América do Sul,1.4676709729838195
2015,Dolar,3.9048
2015,Exceto América do Sul,4.366316798860421
2016,América do Sul,1.5101666887617673
2016,Dolar,3.2591
2016,Exceto América do Sul,5.626466383342395
2017,América do Sul,2.243933534379063
2017,Dolar,3.308
2017,Exceto América do Sul,5.70319443379297
2018,América do Sul,3.5447263713085677
2018,Dolar,3.8748
2018,Exceto América do Sul,3.711806746928947
2019,América do Sul,2.092623436861925
2019,Dolar,4.307
2019,Exceto América do Sul,5.057407378859651
2020,América do Sul,1.875794660643518
2020,Dolar,5.1967
2020,Exceto América do Sul,3.9720887161964025
2021,América do Sul,1.5330129007049837
2021,Dolar,5.5805
2021,Exceto América do Sul,4.258024844718688
