País,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total
Afeganistão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0
África do Sul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,0.0,30.0
"Alemanha, República Democrática",119512.0,265742.0,225086.0,27715.0,36070.0,8189.0,61699.0,213348.0,10680.0,14012.0,15467.0,10794.0,3660.0,6261.0,2698.0,1020933.0
Angola,25931.0,25721.0,54786.0,33557.0,13889.0,2833.0,1573.0,12182.0,1908.0,7359.0,10170.0,477.0,345.0,0.0,0.0,190731.0
Antígua e Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,219.0,624.0,805.0,1685.0
Antilhas Holandesas,17025.0,17938.0,8235.0,9810.0,7335.0,9247.0,11281.0,4455.0,6660.0,16641.0,5400.0,0.0,0.0,0.0,0.0,114027.0
Argentina,0.0,0.0,162.0,0.0,13253.0,0.0,0.0,20385.0,0.0,0.0,0.0,15711.0,0.0,1015.0,6.0,50532.0
Aruba,0.0,0.0,0.0,0.0,900.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0
Austrália,60.0,218726.0,1014.0,1823.0,3632.0,9345.0,16707.0,6308.0,7437.0,1954.0,1350.0,2055.0,1161.0,1013.0,705.0,273290.0
Áustria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,0.0,0.0,0.0,0.0,0.0,675.0
Bahamas,0.0,0.0,0.0,3175.0,4529.0,1374.0,581.0,0.0,0.0,0.0,0.0,141.0,791.0,1212.0,1083.0,12886.0
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,143.0,216.0,395.0
Barein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,8.0,302.0,792.0
Bélgica,1077.0,3523.0,125962.0,42532.0,11802.0,16132.0,22461.0,151320.0,4473.0,7200.0,2790.0,7497.0,2498.0,3166.0,483.0,402916.0
